event_id,flow_id,transaction_id,transaction_lifecycle_event,created_at,error_details_source,error_details_message,error_details_decline_type,error_details_decision_type,error_details_decline_reason,error_details_decline_reason_v2
8949fbab-12ed-45be-a409-fc509d19631e,a3c89fe3-397f-4e66-8684-d87b1ada4e76,157d7ee3-27d0-458c-8059-95030c47d3f4,,"2021-06-03 07:47:50.562094",,,,,,
7838044e-ced0-4c91-9548-dcb2b43c2494,b1c778f7-c3a1-4901-a655-dabeac8ca2f2,fcbed5da-3328-4dff-82f8-defa312dc00d,,"2021-06-03 07:47:50.569272",,,,,,
7a152985-872c-4239-ba0e-d9b3296de0d1,ecbffb89-a501-4971-a114-46e228a9bf88,01d3ae29-18bb-4ee1-8b06-3213ec4270a6,,"2021-06-03 07:47:50.569009",,,,,,
bfd772a3-8920-4937-8665-250ece25fb44,a3c89fe3-397f-4e66-8684-d87b1ada4e76,157d7ee3-27d0-458c-8059-95030c47d3f4,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.572394",,,,,,
737c0ec5-9850-4471-b4b4-783e9ee6dee5,326970f1-8fe1-401d-8f30-336d7960217e,17836faa-8758-4eb9-ad0b-511a2e2c1f5b,,"2021-06-03 07:47:50.575833",,,,,,
6a1fa755-205d-4720-b62f-d800a09e9b1e,b1c778f7-c3a1-4901-a655-dabeac8ca2f2,fcbed5da-3328-4dff-82f8-defa312dc00d,,"2021-06-03 07:47:50.576874",,,,,,
37b02bcb-d716-42ea-89f8-857be4c87a61,ecbffb89-a501-4971-a114-46e228a9bf88,01d3ae29-18bb-4ee1-8b06-3213ec4270a6,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.58159",,,,,,
146e0ae3-053b-4cd1-bc57-288d9138e3cb,b1c778f7-c3a1-4901-a655-dabeac8ca2f2,fcbed5da-3328-4dff-82f8-defa312dc00d,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.586368",,,,,,
5b866563-0af7-4d27-84e4-be26acf67673,326970f1-8fe1-401d-8f30-336d7960217e,17836faa-8758-4eb9-ad0b-511a2e2c1f5b,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.589886",,,,,,
743094e1-3379-4bf9-927c-33859b911efc,a3c89fe3-397f-4e66-8684-d87b1ada4e76,157d7ee3-27d0-458c-8059-95030c47d3f4,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.591539",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
495c66af-43ec-4c35-a37d-1e6161833a62,4c072c8a-9eee-4aa6-9d52-73c7f99fda49,0516d8ea-52d3-4875-a7ed-5b11d0cd2d20,,"2021-06-03 07:47:50.601493",,,,,,
49c2c3e5-6906-4b80-bfe2-6e417400a335,326970f1-8fe1-401d-8f30-336d7960217e,17836faa-8758-4eb9-ad0b-511a2e2c1f5b,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.609059",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
ed21a4a7-c323-4ae6-8c31-4290db8a3bb6,ecbffb89-a501-4971-a114-46e228a9bf88,01d3ae29-18bb-4ee1-8b06-3213ec4270a6,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.609697",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
c5dcb297-892a-4e2a-8aca-bce5a0aa5ef9,b1c778f7-c3a1-4901-a655-dabeac8ca2f2,fcbed5da-3328-4dff-82f8-defa312dc00d,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.610933",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
78ec8da0-1326-4813-a9f8-bc87b85d96d0,9ad578fd-c8c0-4206-a2b4-c466df2d8a7a,b9e58084-25f0-434e-af16-e6821dab93f5,,"2021-06-03 07:47:50.611367",,,,,,
